Date,pet in/day,pet m/day
1/1/79,3.78E-02,9.61E-04
1/2/79,4.02E-02,1.02E-03
1/3/79,1.24E-02,3.14E-04
1/4/79,5.23E-03,1.33E-04
1/5/79,6.02E-03,1.53E-04
1/6/79,8.91E-03,2.26E-04
1/7/79,1.22E-02,3.09E-04
1/8/79,1.26E-02,3.20E-04
1/9/79,1.12E-02,2.85E-04
1/10/79,5.32E-03,1.35E-04
1/11/79,4.60E-03,1.17E-04
1/12/79,4.97E-03,1.26E-04
1/13/79,1.10E-02,2.80E-04
1/14/79,1.29E-02,3.27E-04
1/15/79,1.26E-02,3.21E-04
1/16/79,8.57E-03,2.18E-04
1/17/79,1.01E-02,2.56E-04
1/18/79,1.45E-02,3.69E-04
1/19/79,3.64E-03,9.25E-05
1/20/79,8.48E-03,2.15E-04
1/21/79,1.46E-02,3.72E-04
1/22/79,2.53E-02,6.42E-04
1/23/79,1.11E-02,2.83E-04
1/24/79,1.50E-02,3.81E-04
1/25/79,1.60E-02,4.07E-04
1/26/79,2.82E-02,7.15E-04
1/27/79,3.23E-02,8.20E-04
1/28/79,3.15E-02,8.01E-04
1/29/79,2.78E-02,7.06E-04
1/30/79,2.70E-02,6.85E-04
1/31/79,2.42E-02,6.15E-04
2/1/79,1.80E-02,4.58E-04
2/2/79,1.13E-02,2.86E-04
2/3/79,2.48E-02,6.31E-04
2/4/79,3.12E-02,7.93E-04
2/5/79,1.80E-02,4.58E-04
2/6/79,8.40E-03,2.13E-04
2/7/79,9.72E-03,2.47E-04
2/8/79,2.12E-02,5.38E-04
2/9/79,7.40E-03,1.88E-04
2/10/79,5.36E-03,1.36E-04
2/11/79,4.25E-03,1.08E-04
2/12/79,5.72E-03,1.45E-04
2/13/79,6.19E-03,1.57E-04
2/14/79,4.76E-03,1.21E-04
2/15/79,8.76E-03,2.22E-04
2/16/79,8.60E-03,2.19E-04
2/17/79,4.43E-03,1.12E-04
2/18/79,5.31E-03,1.35E-04
2/19/79,1.61E-02,4.08E-04
2/20/79,1.49E-02,3.77E-04
2/21/79,2.17E-02,5.51E-04
2/22/79,5.84E-02,1.48E-03
2/23/79,2.72E-02,6.90E-04
2/24/79,3.23E-02,8.21E-04
2/25/79,3.27E-02,8.31E-04
2/26/79,3.17E-02,8.05E-04
2/27/79,3.06E-02,7.77E-04
2/28/79,7.10E-02,1.80E-03
3/1/79,7.19E-02,1.83E-03
3/2/79,3.24E-02,8.24E-04
3/3/79,3.88E-02,9.86E-04
3/4/79,9.14E-02,2.32E-03
3/5/79,0.108041,2.74E-03
3/6/79,0.114227,2.90E-03
