Date,ppt in/day,ppt m/day
1/1/79,0.4180855,0.010619468
1/2/79,0.8278093,0.021026548
1/3/79,4.18E-02,0.001061947
1/4/79,0,0
1/5/79,0,0
1/6/79,2.83E-02,0.000718952
1/7/79,1.187363,0.030159295
1/8/79,0.6354899,0.016141591
1/9/79,0,0
1/10/79,0,0
1/11/79,0,0
1/12/79,0,0
1/13/79,0.1219042,0.003096395
1/14/79,8.51E-02,0.002162231
1/15/79,0,0
1/16/79,0,0
1/17/79,3.07E-02,0.000779968
1/18/79,3.37E-05,8.57E-07
1/19/79,0,0
1/20/79,3.55E-02,0.000902075
1/21/79,2.324555,0.059044235
1/22/79,0,0
1/23/79,9.00E-03,0.000228673
1/24/79,1.179001,0.029946898
1/25/79,0.7943624,0.020176989
1/26/79,4.29E-03,0.000109092
1/27/79,0,0
1/28/79,0,0
1/29/79,0,0
1/30/79,0,0
1/31/79,0,0
2/1/79,0,0
2/2/79,0,0
2/3/79,0,0
2/4/79,0,0
2/5/79,0,0
2/6/79,0,0
2/7/79,0,0
2/8/79,0,0
2/9/79,0,0
2/10/79,0,0
2/11/79,0,0
2/12/79,0,0
2/13/79,0,0
2/14/79,0,0
2/15/79,0,0
2/16/79,0,0
2/17/79,0,0
2/18/79,0,0
2/19/79,4.22E-03,0.000107263
2/20/79,0,0
2/21/79,2.64E-02,0.000671207
2/22/79,0,0
2/23/79,0.1668811,0.004238819
2/24/79,1.477676,0.037533312
2/25/79,0.5653718,0.014360575
2/26/79,1.246388,0.031658544
2/27/79,2.57E-02,0.000652753
2/28/79,0,0
3/1/79,0,0
3/2/79,8.93E-02,0.002267764
3/3/79,5.10E-02,0.001295865
3/4/79,8.93E-02,0.002267764
3/5/79,1.147901,0.029156951
3/6/79,2.933526,0.074512239
3/7/79,0.1402991,0.00356363
3/8/79,0,0
3/9/79,0,0
3/10/79,0.5356873,0.013606581
3/11/79,0.3698793,0.00939502
3/12/79,0,0
3/13/79,1.28E-02,0.000323966
3/14/79,7.65E-02,0.001943797
3/15/79,0,0
3/16/79,0,0
3/17/79,0,0
3/18/79,0,0
3/19/79,0,0
3/20/79,0,0
3/21/79,0,0
3/22/79,0,0
3/23/79,0,0
3/24/79,0.4846695,0.012310717
3/25/79,7.65E-02,0.001943797
3/26/79,0,0
3/27/79,0,0
3/28/79,0,0
3/29/79,0.1785624,0.004535526
3/30/79,0,0
3/31/79,3.83E-02,0.000971899
4/1/79,1.28E-02,0.000323966
4/2/79,0.4208972,0.010690886
4/3/79,7.65E-02,0.001943797
4/4/79,0.1402991,0.00356363
4/5/79,3.83E-02,0.000971899
4/6/79,0,0
4/7/79,0,0
4/8/79,0.1530535,0.003887594
4/9/79,0.8290399,0.021057805
4/10/79,3.83E-02,0.000971899
4/11/79,0,0
4/12/79,0,0
4/13/79,3.83E-02,0.000971899
4/14/79,1.300955,0.033044558
4/15/79,0.2295803,0.005831393
4/16/79,0.3443705,0.00874709
4/17/79,0,0
4/18/79,0,0
4/19/79,0,0
4/20/79,0,0
4/21/79,0,0
4/22/79,0,0
4/23/79,0,0
4/24/79,0,0
4/25/79,0.3953883,0.010042954
4/26/79,1.339218,0.034016447
4/27/79,1.747361,0.044383374
4/28/79,0.4464061,0.011338818
4/29/79,0.1530535,0.003887594
4/30/79,0,0
5/1/79,0,0
5/2/79,2.31E-02,0.000587755
5/3/79,0.1504083,0.003820406
5/4/79,4.63E-02,0.00117551
5/5/79,0,0
5/6/79,0,0
5/7/79,0,0
5/8/79,0,0
5/9/79,6.94E-02,0.001763264
5/10/79,3.47E-02,0.000881632
5/11/79,0.1156987,0.002938774
5/12/79,0.173548,0.004408159
5/13/79,0.4859345,0.012342849
5/14/79,0.1851179,0.004702038
5/15/79,4.63E-02,0.00117551
5/16/79,0,0
5/17/79,0.1619782,0.004114284
5/18/79,0.1851179,0.004702038
5/19/79,6.94E-02,0.001763264
5/20/79,0,0
5/21/79,0,0
5/22/79,0,0
5/23/79,2.175135,0.055248932
5/24/79,1.284256,0.0326204
5/25/79,0.4743646,0.012048971
5/26/79,0.1041288,0.002644896
5/27/79,0.1504083,0.003820406
5/28/79,9.26E-02,0.002351019
5/29/79,0.2313974,0.005877548
5/30/79,0.1966878,0.004995916
5/31/79,0,0
6/1/79,0,0
6/2/79,0.1851058,0.00470173
6/3/79,0.3239351,0.008228027
6/4/79,0.3586424,0.0091096
6/5/79,0.1851058,0.00470173
6/6/79,0,0
6/7/79,0,0
6/8/79,0,0
6/9/79,0,0
6/10/79,1.16E-02,0.000293858
6/11/79,0.2776586,0.007052593
6/12/79,0,0
6/13/79,0,0
6/14/79,0,0
6/15/79,0,0
6/16/79,0.1619675,0.004114012
6/17/79,0.208244,0.005289446
6/18/79,0.2892278,0.007346453
6/19/79,0,0
6/20/79,0,0
6/21/79,0,0
6/22/79,0,0
6/23/79,0,0
6/24/79,0,0
6/25/79,0,0
6/26/79,0,0
6/27/79,0,0
6/28/79,0.1156911,0.002938581
6/29/79,6.94E-02,0.001763148
6/30/79,0.208244,0.005289446
7/1/79,0.2660895,0.006758735
7/2/79,5.78E-02,0.00146929
7/3/79,0.1388293,0.003526296
7/4/79,5.78E-02,0.00146929
7/5/79,0,0
7/6/79,0,0
7/7/79,0,0
7/8/79,0,0
7/9/79,0,0
7/10/79,4.63E-02,0.001175432
7/11/79,0,0
7/12/79,0,0
7/13/79,0,0
7/14/79,3.47E-02,0.000881574
7/15/79,0,0
7/16/79,5.78E-02,0.00146929
7/17/79,0.104122,0.002644723
7/18/79,0.2198131,0.005583304
7/19/79,0,0
7/20/79,0,0
7/21/79,0,0
7/22/79,8.10E-02,0.002057007
7/23/79,9.26E-02,0.002350865
7/24/79,0.1503984,0.003820154
7/25/79,0.1735367,0.004407872
7/26/79,0.104122,0.002644723
7/27/79,0,0
7/28/79,0,0
7/29/79,8.10E-02,0.002057007
7/30/79,2.31E-02,0.000587716
7/31/79,0,0
8/1/79,2.51E-02,0.000637168
8/2/79,2.51E-02,0.000637168
8/3/79,0.259213,0.00658407
8/4/79,3.34E-02,0.000849557
8/5/79,0.4933408,0.012530971
8/6/79,8.36E-03,0.000212389
8/7/79,0,0
8/8/79,0,0
8/9/79,2.51E-02,0.000637168
8/10/79,0.2341279,0.005946903
8/11/79,0.5769579,0.014654864
8/12/79,1.229171,0.031221228
8/13/79,0.1588725,0.004035398
8/14/79,0,0
8/15/79,0,0
8/16/79,0,0
8/17/79,0,0
8/18/79,0.459894,0.011681414
8/19/79,8.36E-02,0.002123894
8/20/79,0,0
8/21/79,0,0
8/22/79,0,0
8/23/79,8.36E-02,0.002123894
8/24/79,0.2508513,0.006371681
8/25/79,0.2341279,0.005946903
8/26/79,0,0
